"GID"	"ENV"	"Yield"
"139"	"Oat245"	"Env2"	6262.104441
"140"	"Oat197"	"Env4"	6833.801633
"141"	"Oat93"	"Env3"	5589.298086
"142"	"Oat289"	"Env2"	5948.225848
"143"	"Oat107"	"Env4"	7265.216736
"144"	"Oat184"	"Env2"	7221.025402
"145"	"Oat249"	"Env2"	6408.076251
"146"	"Oat253"	"Env1"	6085.704418
"147"	"Oat193"	"Env3"	6330.265039
"148"	"Oat25"	"Env1"	6007.874167
"149"	"Oat78"	"Env3"	5914.005269
"150"	"Oat114"	"Env3"	6717.209679
"151"	"Oat94"	"Env4"	7384.994509
"152"	"Oat105"	"Env3"	5798.439171
"153"	"Oat220"	"Env4"	6257.695004
"154"	"Oat90"	"Env3"	6642.121267
"155"	"Oat90"	"Env4"	6806.106458
"156"	"Oat315"	"Env3"	6309.790653
"157"	"Oat249"	"Env1"	7261.809922
"158"	"Oat195"	"Env2"	6913.651254
"159"	"Oat51"	"Env3"	5780.611888
"160"	"Oat321"	"Env4"	5465.225797
"161"	"Oat15"	"Env2"	6284.621141
"162"	"Oat279"	"Env4"	6758.54703
"163"	"Oat132"	"Env2"	6428.527403
"164"	"Oat125"	"Env4"	7747.998274
"165"	"Oat253"	"Env3"	6662.217839
"166"	"Oat223"	"Env2"	7323.635747
"167"	"Oat10"	"Env3"	6287.101833
"168"	"Oat168"	"Env3"	3947.001409
"169"	"Oat258"	"Env2"	6695.931022
"170"	"Oat142"	"Env1"	6401.575289
"171"	"Oat296"	"Env4"	6686.599542
"172"	"Oat220"	"Env1"	6634.751885
"173"	"Oat318"	"Env4"	6762.822469
"174"	"Oat36"	"Env3"	6329.28237
"175"	"Oat41"	"Env1"	6427.010234
"176"	"Oat240"	"Env4"	6706.026943
"177"	"Oat103"	"Env3"	6141.56641
"178"	"Oat193"	"Env1"	6685.465391
"179"	"Oat55"	"Env4"	6854.602028
"180"	"Oat174"	"Env1"	5968.85464
"181"	"Oat118"	"Env3"	5598.769468
"182"	"Oat120"	"Env3"	6040.332899
"183"	"Oat320"	"Env2"	5869.652396
"184"	"Oat192"	"Env3"	6586.517711
"185"	"Oat248"	"Env1"	5465.553389
"186"	"Oat205"	"Env3"	6002.337641
"187"	"Oat246"	"Env1"	6236.571289
"188"	"Oat91"	"Env3"	6552.748
"189"	"Oat312"	"Env2"	6065.490498
"190"	"Oat275"	"Env2"	6639.473364
"191"	"Oat149"	"Env3"	6229.256657
"192"	"Oat23"	"Env4"	5816.117396
"193"	"Oat168"	"Env4"	6360.830519
"194"	"Oat129"	"Env4"	6411.199412
"195"	"Oat253"	"Env4"	6653.738239
"196"	"Oat16"	"Env1"	5816.681958
"197"	"Oat321"	"Env3"	5543.403052
"198"	"Oat153"	"Env3"	5238.210997
"199"	"Oat266"	"Env4"	7264.145857
"200"	"Oat230"	"Env4"	6200.191263
"201"	"Oat167"	"Env2"	5943.392096
"202"	"Oat242"	"Env1"	6366.939124
"203"	"Oat251"	"Env2"	6728.496162
"204"	"Oat188"	"Env3"	6064.032985
"205"	"Oat300"	"Env2"	5992.028864
"206"	"Oat170"	"Env3"	6188.780856
"207"	"Oat54"	"Env4"	6400.806031
"208"	"Oat137"	"Env1"	6601.627058
"209"	"Oat52"	"Env4"	6758.697522
"210"	"Oat26"	"Env4"	6610.139117
"211"	"Oat178"	"Env1"	6304.821863
"212"	"Oat131"	"Env2"	7019.274052
"213"	"Oat215"	"Env1"	6725.563971
"214"	"Oat6"	"Env1"	7227.83075
"215"	"Oat223"	"Env1"	6785.92246
"216"	"Oat11"	"Env2"	3948.641388
"217"	"Oat22"	"Env4"	6313.778211
"218"	"Oat327"	"Env3"	6356.1138
"219"	"Oat286"	"Env2"	6948.545017
"220"	"Oat192"	"Env1"	6968.042684
"221"	"Oat189"	"Env4"	7506.835019
"222"	"Oat231"	"Env2"	5911.819163
"223"	"Oat272"	"Env1"	7359.749292
"224"	"Oat291"	"Env4"	6688.963043
"225"	"Oat157"	"Env3"	5826.17046
"226"	"Oat253"	"Env2"	6416.700649
"227"	"Oat139"	"Env3"	4786.720052
"228"	"Oat158"	"Env4"	7062.214652
"229"	"Oat285"	"Env2"	6965.338792
"230"	"Oat279"	"Env1"	7246.562075
"231"	"Oat41"	"Env2"	6803.616879
"232"	"Oat152"	"Env1"	6215.427516
"233"	"Oat14"	"Env1"	5724.671498
"234"	"Oat244"	"Env1"	5585.46887
"235"	"Oat38"	"Env2"	6638.823768
"236"	"Oat187"	"Env1"	6393.488251
"237"	"Oat267"	"Env2"	6387.956903
"238"	"Oat33"	"Env1"	5906.838146
"239"	"Oat20"	"Env4"	6549.975035
"240"	"Oat114"	"Env4"	6727.298431
"241"	"Oat37"	"Env1"	6435.699578
"242"	"Oat181"	"Env1"	6572.855032
"243"	"Oat222"	"Env3"	5498.567685
"244"	"Oat110"	"Env4"	6149.604143
"245"	"Oat131"	"Env1"	5787.390196
"246"	"Oat135"	"Env1"	6865.365553
"247"	"Oat212"	"Env3"	6073.033068
"248"	"Oat198"	"Env3"	6849.218508
"249"	"Oat317"	"Env1"	5909.379374
"250"	"Oat33"	"Env4"	6767.291177
"251"	"Oat44"	"Env3"	5019.680674
"252"	"Oat34"	"Env1"	7248.691293
"253"	"Oat256"	"Env1"	6528.395283
"254"	"Oat66"	"Env2"	7433.520378
"255"	"Oat143"	"Env1"	6094.043408
"256"	"Oat23"	"Env3"	5737.704149
"257"	"Oat52"	"Env2"	6671.870895
"258"	"Oat12"	"Env1"	5703.334368
"259"	"Oat42"	"Env3"	6100.621256
"260"	"Oat187"	"Env2"	6901.48419
"261"	"Oat295"	"Env1"	6438.275825
"262"	"Oat305"	"Env2"	6304.435021
"263"	"Oat73"	"Env4"	6018.959092
"264"	"Oat3"	"Env4"	7418.946314
"265"	"Oat158"	"Env3"	5284.267639
"266"	"Oat12"	"Env3"	6005.027976
"267"	"Oat292"	"Env1"	6001.029119
"268"	"Oat161"	"Env3"	6168.012406
"269"	"Oat150"	"Env1"	5858.019502
"270"	"Oat185"	"Env2"	6386.890633
"271"	"Oat301"	"Env4"	6562.954291
"272"	"Oat48"	"Env3"	5978.383425
"273"	"Oat177"	"Env2"	5405.93997
"274"	"Oat48"	"Env4"	7695.048645
"275"	"Oat226"	"Env3"	5921.407239
"276"	"Oat119"	"Env4"	6232.214073
"277"	"Oat193"	"Env2"	6283.632985
"278"	"Oat27"	"Env3"	5092.612516
"279"	"Oat268"	"Env2"	7048.948127
"280"	"Oat131"	"Env3"	6209.597861
"281"	"Oat159"	"Env4"	6492.891887
"282"	"Oat115"	"Env1"	7461.879387
"283"	"Oat140"	"Env2"	6678.028494
"284"	"Oat293"	"Env3"	6565.021911
"285"	"Oat156"	"Env4"	6436.205678
"286"	"Oat295"	"Env2"	5962.72335
"287"	"Oat302"	"Env3"	6221.460472
"288"	"Oat47"	"Env3"	5695.382351
"289"	"Oat132"	"Env1"	7037.566659
"290"	"Oat14"	"Env3"	5593.922445
"291"	"Oat323"	"Env2"	6880.561211
"292"	"Oat211"	"Env1"	5221.279128
"293"	"Oat167"	"Env1"	5944.748848
"294"	"Oat214"	"Env2"	6526.426042
"295"	"Oat257"	"Env2"	6886.34754
"296"	"Oat134"	"Env4"	6940.274764
"297"	"Oat120"	"Env4"	6278.048908
"298"	"Oat290"	"Env2"	6574.06726
"299"	"Oat62"	"Env4"	7762.812549
"300"	"Oat19"	"Env3"	6090.034745
"301"	"Oat216"	"Env3"	6112.871934
"302"	"Oat126"	"Env2"	7101.01584
"303"	"Oat307"	"Env2"	5764.360293
"304"	"Oat65"	"Env2"	7818.236575
"305"	"Oat154"	"Env3"	5643.768529
"306"	"Oat296"	"Env1"	6048.254729
"307"	"Oat134"	"Env3"	6301.730209
"308"	"Oat73"	"Env2"	6094.581732
"309"	"Oat210"	"Env1"	6361.504263
"310"	"Oat117"	"Env1"	6270.610338
"311"	"Oat216"	"Env4"	7509.485988
"312"	"Oat320"	"Env3"	6137.714793
"313"	"Oat36"	"Env4"	7468.940403
"314"	"Oat24"	"Env2"	6528.317192
"315"	"Oat271"	"Env1"	6149.384602
"316"	"Oat239"	"Env4"	6221.950963
"317"	"Oat3"	"Env1"	6462.309417
"318"	"Oat225"	"Env4"	7328.036638
"319"	"Oat275"	"Env1"	6203.464356
"320"	"Oat123"	"Env2"	6275.810962
"321"	"Oat40"	"Env2"	7513.79656
